,Report Author,Source,Short Source,U5 Population ('000s)
227,Centro de Estudios Sociales y DemogrÃ¡ficos - CESDEM/RepÃºblica Dominicana and Macro International.,"Encuesta demografica y de salud 1996 (DHS). Centro de Estudios Sociales y Demograficos, Asociacion Dominicana Pro Bienestar de la Familia, Oficina Nacional de Planificacion. Santo Domingo, Republica Dominicana, 1997 (and additional analysis).",DHS,1019.325
228,"Molina Achecar M, JosÃ© Polanco J.","Encuesta por conglomerados de indicadores multiples (MICS-2000). Santo Domingo, D.N.: Secretariado TÃ©cnico de la Presidencia, Fondo de las Naciones Unidas para la Infancia (UNICEF), 2001 (and additional analysis).",MICS,1008.017
229,"Molina AchÃ©car M, Ramirez N, JosÃ© Polanco J, Ochoa LH, Lerebours G, Garcia B.","Encuesta demografica y de salud, ENDESA 2002. Demographic and Health Surveys. Santo Domingo, Republica Dominicana: Centro de Estudios Sociales y Demograficos, 2003 (and additional analysis).",DHS,998.016
230,Oficina Nacional de Estadistica (ONE).,"Encuesta nacional de hogares de proposito multiples (ENHOGAR 2006): Informe general. Santo Domingo, Republica Dominicana: ONE, 2008 (and additional analysis).",MICS-Style,993.981
231,Centro de Estudios Sociales y DemogrÃ¡ficos (CESDEM) y Macro International Inc.,"Encuesta demogrÃ¡fica y de salud 2007. Demographic and Health Surveys. Santo Domingo, RepÃºblica Dominicana: CESDEM y Macro International Inc., 2008 (and additional analysis).",DHS,992.495
232,Centro de Estudios Sociales y DemogrÃ¡ficos (CESDEM) y ICF International.,"Encuesta demogrÃ¡fica y de salud 2013. Demographic and Health Surveys. Santo Domingo, RepÃºblica Dominicana: CESDEM y ICF International, 2014 (and additional analysis).",DHS,999.023
233,"Freire W, Dirren H, Mora J, Arenales P, Granda E, Breilh J, et al.","[Diagnostico de la situacion alimentaria, nutricional y de salud de la poblacion ecuatoriana menor de cinco aÃ±os. Quito: Ministerio de Salud Publica y Consejo Nacional de Desarrollo, 1988 (and additional analysis).",Other,1343.28
234,"Larrea C, Freire WB, Lutter C.","Equidad desde el principio - situacion nutricional de los niÃ±os ecuatorianos. Encuesta de condiciones de vida, 1998. Organizacion Panamericana de la Salud y Ministerio de Salud Publica, Ecuador. Washington, D.C.: OPS, 2001 (and additional analysis).",LSMS,1553.154
235,Centro de Estudios de Poblacion y Desarrollo Social (CEPAR) et al.,"Encuesta demografÃ­a y de salud materna e infantil, ENDEMAIN 2004: Informe final. Quito, Ecuador: CEPAR, 2005 (and additional analysis).",Other,1562.128
236,Instituto Nacional De EstadÃ®stica y Censos (INEC) - Secretaria Nacional de PlanificaciÃ³n y Desarrollo (SENPLADES),"Ecuador - Encuesta de Condiciones De Vida 2005-2006 v.1.4, V Ronda (and additional analysis)",Other,1548.115
237,"Freire W.B., RamÃ­rez M.J., Belmont P., Mendieta M.J., Silva M.K., Romero N., SÃ¡enz K., PiÃ±eiros P., GÃ³mez L.F., Monge R.",RESUMEN EJECUTIVO. TOMO I. Encuesta Nacional de Salud y NutriciÃ³n del Ecuador. ENSANUT-ECU 2011-2013 Ministerio de Salud PÃºblica/Instituto Nacional de EstadÃ­stica y Censos. (and additional analysis).,Other,1576.81
238,Instituto Nacional de EstadÃ­stica Y Censos (INEC),Tabulados Encuesta de Condiciones de Vida 2014 - Sexta Ronda (and additional analysis),LSMS,1596.662
239,"Abdel-Sayed H, Osman M, El-Zanaty F, Way A.","Egypt demographic and health survey 1988. Demographic and Health Surveys. Egypt National Population Council. Cairo, Egypt, 1989 (and additional analysis).",DHS,8495.019
240,Agency for Public Mobilisation and Statistics,"Egyptian maternal and child health survey (EMCHS). PAPCHILD Surveys. Agency for Public Mobilisation and Statistics. Cairo, Arab Republic of Egypt, 1992 (and additional analysis).",PAPFAM,8754.239
241,"El-Zanaty FH, Sayed HAA, Zaky HHM, Way AA.","Egypt demographic and health survey 1992. Demographic and Health Surveys. Cairo, Egypt, 1993 (and additional analysis).",DHS,8579.93
242,"El-Zanaty F, Hussein EM, Shawsky GA, Way AA, Kishor S.","Egypt demographic and health survey 1995. Demographic and Health Surveys. National Population Council. Cairo, Egypt, 1996 (and additional analysis).",DHS,8385.616
243,El-Zanaty and Associates/Egypt and Macro International.,"Egypt demographic and health survey 1997. Demographic and Health Surveys. El-Zanaty and Associates, Cairo, Egypt, 1998 (and additional analysis).",IDHS,8266.325
244,El-Zanaty et al.,"Egypt demographic and health survey 1998. Demographic and Health Surveys. Cairo, Egypt, 1999 (and additional analysis).",IDHS,8367.557
245,El-Zanaty F and Way A.,"Egypt demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland, USA: Ministry of Health and Population [Egypt], National Population Council and ORC Macro, 2001 (and additional analysis).",DHS,8557.27
246,El-Zanaty F and Way AA.,"2003 Egypt interim demographic and health survey. Demographic and Health Survey. Cairo, Egypt: Ministry of Health and Population [Egypt], National Population Council, El-Zanaty and Asociates, and ORC Macro, 2004 (and additional analysis).",IDHS,8744.939
247,El-Zanaty F and Way A.,"Egypt demographic and health survey 2005. Demographic and Health Surveys. Caire, Egypt: Ministry of Health and Population, National Population Council, El-Zanaty and Associates, and ORC Macro, 2006 (and additional analysis).",DHS,8797.235
248,El-Zanaty F and Way A.,"Egypt demographic and health survey 2008. Demographic and Health Surveys. Cairo, Egypt: Ministry of Health, 2009 (and additional analysis).",DHS,9135.679
249,"Ministry of Health and Population [Egypt], El-Zanaty and Associates [Egypt], and ICF International.","Egypt demographic and health survey 2014. Demographic and Health Surveys. Cairo, Egypt and Rockville, Maryland, USA: Ministry of Health and Population and ICF International, 2015 (and additional analysis)",DHS,11943.129
250,Ministerio de Salud Publica y Asistencia Social,"Evaluacion de la situacion alimentaria nutricional en El Salvador (ESANES-88). Ministerio de Salud Publica y Asistencia Social. San Salvador, El Salvador, 1990 (and additional analysis).",Other,742.183
251,Salvadoran Demographic Association.,"National family health survey 1993 (FESAL-93). San Salvador: Government of El Salvador, 1994 (and additional analysis).",RHS,767.556
252,Salvadoran Demographic Association.,"National family health survey 1998: final report (FESAL-98). San Salvador, Republica de San Salvador, C.A., 2000 (and additional analysis).",RHS,775.386
253,Asociacion Demografica Salvadorena (ADS).,Encuesta nacional de salud familiar (FESAL) 2002/03. Informe final (and additional analysis),RHS,691.281
254,"Asociacion Demografica Salvadorena (ADS), Division of Reproductive Health, Centers for Disease Control and Prevention (CDC).","Encuesta nacional de salud familiar, FESAL 2008. Informe resumido. San Salvador, El Salvador: ADS, 2009 (and additional analysis).",RHS,613.806
255,Ministerio de Salud; Instituto Nacional de Salud; UNICEF.,"Encuesta nacional de salud 2014 - Encuesta de indicadores multiples por conglomerados 2014, Resultados principales. San Salvador, El Salvador: Ministerio de Salud e Instituto Nacional de Salud.",MICS,587.168
256,"Custodio E, Descalzo MA, Roche J, Molina L, SÃ¡nchez I, Lwanga M et al.",The economic and nutrition transition in Equatorial Guinea coincided with a double burden of over- and under nutrition. Economics and Human Biology 2010;8:80-87 (and additional analysis).,Other,89.048
257,"Ministerio de PlanificaciÃ³n y Desarrollo EconÃ³mico, DirecciÃ³n General de EstadÃ­stica y Cuentas Nacionales.","Encuesta de indicadores multiples (MICS 2000): Informe final. Malabo, RepÃºblica de Guinea Educatorial:Ministerio de PlanificaciÃ³n y Desarrollo EconÃ³mico y UNICEF, 2001 (and additional analysis).",MICS,100.185
258,"Custodio E, Descalzo MA, Roche J, SÃ¡nchez I, Molina L, Lwanga M et al.",Nutritional status and its correlates in Equatorial Guinean preschool children: Results from a nationally representative survey. Food and Nutrition Bulletin 2008;29:49-58 (and additional analysis).,Other,117.413
259,"Ministerio de Sanidad y Bienestar Social (MSBS), Ministerio de EconomÃ­a, PlanificaciÃ³n, e Inversiones PÃºblicas (MEPIP), ICF International.","Encuesta demogrÃ¡fica y de salud en Guinea Ecuatorial (EDSGE-I). Demographic and Health Surveys. Guinea Ecuatorial y Calverton, Maryland, USA: MSBS, MEPIP e ICF, 2012.",DHS,154.9
260,Ministry of Finance and Development.,"Children and women in Eritrea: 1994. Government of the State of Eritrea/UNICEF Situation Analysis. Asmara, Eritrea, 1994 (and additional analysis).",Other,394.898
261,National Statistics Office [Eritrea] and Macro International Inc.,"Eritrea demographic and health survey 1995. Demographic and Health Surveys. Calverton, Maryland: National Statistics Office and Macro International Inc, 1997 (and additional analysis).",DHS,370.17
262,National Statistics and Evaluation Office (NSEO) [Eritrea] and ORC Macro.,"Eritrea demographic and health survey 2002. Demographic and Health Surveys. Calverton, Maryland, USA: National Statistics amd Evaluation Office and ORC Macro, 2003 (and additional analysis).",DHS,339.219
263,National Statistics Office (NSO) [Eritrea] and Fafo AIS [Norway].,"Eritrea population and health survey 2010. Asmara, Eritrea: National Statistics Office and Fafo Institute for Applied International Studies, 2013. (and additional analysis)",Other,526.331
264,Swaziland Government.,"Multiple indicator cluster survey (MICS): Model full report. Maseru, Swaziland: Central Statistical Office, 2002 (and additional analysis)",MICS,146.358
265,"Central Statistical Office (CSO) [Swaziland], and Macro International Inc.","Swaziland demographic and health survey 2006-07. Demographic and Health Surveys. Mbabane, Swaziland: Central Statistical Office and Macro International Inc., 2008 (and additional analysis).",DHS,146.087
266,"Ministry of Health, National Nutrition Council.","Swaziland national nutrition survey report (November 2008). Mbabane, Swaziland: Ministry of Health, 2009.",NNS,149.924
267,Central Statistical Office and UNICEF.,"Swaziland multiple indicator cluster survey 2010 (MICS): Final report. Mbabane, Swaziland, Central Statistical Office and UNICEF, 2011 (and additional analysis).",MICS,151.903
268,Central Statistical Office and UNICEF.,"Swaziland Multiple Indicator Cluster Survey 2014. Final Report. Mbabane, Swaziland, Central Statistical Office and UNICEF (and additional analysis)",MICS,146.88
269,Central Statistical Authority [Ethiopia],"Report on the National Rural Nutrition Survey, Core Module. Transitional Government of Ethiopia, Central Statistical Authority. Statistical Bulletin No 113. Addis Ababa, Ethiopia; 1993.",NNS,9676.525
270,Central Statistical Authority [Ethiopia] and ORC Macro.,"Ethiopia demographic and health survey 2000. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Authority and ORC Macro, 2001 (and additional analysis).",DHS,12347.59
271,General Statistical Agency [Ethiopia] and ORC Macro.,"Ethiopia demographic and health survey 2005. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: General Statistical Agency and ORC Macro, 2006 (and additional analysis).",DHS,13553.113
272,Central Statistical Agency [Ethiopia] and ICF International.,"Ethiopia demographic and health survey 2011. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Agency and ICF International, 2012 (and additional analysis).",DHS,14428.312
273,Central Statistical Agency [Ethiopia].,"Ethiopia mini demographic and health survey 2014. Addis Ababa, Ethiopia, 2014.",DHS-Style,15206.711
274,Central Statistical Agency (CSA) [Ethiopia] and ICF,"Ethiopia Demographic and Health Survey 2016. Addis Ababa, Ethiopia, and Rockville, Maryland, USA. CSA and ICF (and additional analysis)",DHS,15823.334
275,Ethiopian Public Health Institute (EPHI) [Ethiopia] and ICF,"Ethiopia Mini Demographic and Health Survey 2019: Key Indicators. Rockville, Maryland, USA: EPHI and ICF.",SDHS,16560.834
276,National Food and Nutrition Committee,"1993 National nutrition survey - main report. Suva: National Food and Nutrition Committee, 1995 (and additional analysis).",NNS,98.502
277,National Food and Nutrition Centre.,"2004 Fiji national nutrition survey: Main report. Suva, Fiji, 2007 (and additional analysis).",NNS,89.974
278,Direction GÃ©nÃ©rale de la Statistique et des Etudes Economiques (DGSEE) [Gabon] et ORC Macro.,"EnquÃªte dÃ©mographique et de santÃ© Gabon 2000. DHS. Calverton, Maryland: Direction GÃ©nÃ©rale de la Statistique et des Etudes Economiques, et Fonds des Nations Unies pour la Population, et ORC Macro, 2001 (and additional analysis).",DHS,184.69
279,Direction GÃ©nÃ©rale de la Statistique (DGS) et ICF International.,"EnquÃªte dÃ©mographique et de santÃ© du Gabon 2012. Demographic and Health Surveys. Calverton, Maryland, et Libreville, Gabon : DGS et ICF International, 2013 (and additional analysis).",DHS,253.983
280,"Central Statistics Department [The Gambia], et al.","Report of the progress of the mid-decade goals in the Gambia (MICS), 1996. Banjul: The Republic of The Gambia and UNICEF, 1998 (and additional analysis).",MICS,222.099
281,Government of The Gambia and UNICEF.,"The Gambia multiple indicator cluster survey report, 2000 (MICS). Banjul, The Gambia, 2002 (and additional analysis).",MICS,243.236
282,Gambia Bureau of Statistics (GBoS).,"The Gambia Multiple Indicator Cluster Survey 2005/2006 Report. Banjul, The Gambia: GBoS, 2007 (and additional analysis).",MICS,284.257
283,The Gambia Bureau of Statistics (GBOS).,"The Gambia multiple indicator cluster survey 2010 (MICS): Final report. Banjul, The Gambia: GBOS, 2012 (and additional analysis)",MICS,317.504
284,"National Nutrition Agency (NaNA), Office of the Vice President and Ministry of Women's Affairs, Gambia; UNICEF",2012 National Nutrition Survey in the Gambia using the Standardised Monitoring and Assessment of Relief Transition (SMART) methods (and additional analysis),SMART,337.578
285,The Gambia Bureau of Statistics (GBOS) and ICF International.,"The Gambia Demographic and Health Survey 2013. Banjul, The Gambia, and Rockville, Maryland, USA: GBOS and ICF International, 2014 (and additional analysis)",DHS,346.839
286,The Gambia Bureau of Statistics,"The Gambia Multiple Indicator Cluster Survey 2018, Survey Findings Report. Banjul, The Gambia: The Gambia Bureau of Statistics",MICS,392.902
287,"National Nutrition Agency (NaNA)-Gambia, UNICEF, Gambia Bureau of Statistics (GBOS), GroundWork","Gambia National Micronutrient Survey 2018. Banjul, Gambia; 2019",Other,392.902
288,"State Department of Statistics, UNICEF","Georgia multiple indicator cluster survey 1999 (MICS). Tibilisi, Georgia, 2000 (and additional analysis).",MICS,269.919
289,State Department of Statistics [Georgia] and National Cenre for Disease Control [Georgia].,Georgia monitoring the situation of children and women. Mulitple indicator cluster survey 2005 (and additional analysis).,MICS,233.077
290,"Georgia National Center for Disease Control and Public Health (NCDC&PH), UNICEF.","Report of the Georgia national nutrition survey (GNNS) 2009. Tbilisi, Georgia: NCDC&PH and UNICEF, 2010.",NNS,254.744
291,"Kurth BM, Schaffrath Rosario A.",2003-2005 Ergebnisse des bundesweiten Kinder- und Jugendgesundheitssurveys (KiGGS).,Other,3679.491
292,Robert Kock Institute,German Health Interview and Examination Survey for Children and Adolescents KiGGS,Other,3603.889
293,Ghana Statistical Service (GSS) and and Macro International Inc. (MI).,"Ghana demographic and health survey 1988. Demographic and Health Surveys. Ghana Statistical Service. Accra, Ghana, 1989 (and additional analysis).",DHS,2427.597
294,Ghana Statistical Service (GSS) and Macro International Inc. (MI).,"Ghana demographic and health survey 1993. Demographic and Health Surveys. Calverton, Maryland: GSS and MI, 1994 (and additional analysis).",DHS,2709.984
295,Ghana Statistical Service (GSS) and Macro International Inc. (MI).,"Ghana demographic and health survey 1998. Demographic and Health Surveys. Calverton, Maryland: GSS and MI, 1999 (and additional analysis).",DHS,2956.504
296,"Ghana Statistical Service (GSS), Noguchi Memorial Institute for Medical Research (NMIMR), and ORC Macro.","Ghana demographic and health survey 2003. Demographic and Health Surveys. Calverton, Maryland: GSS, NMIMR, and ORC Macro, 2004 (and additional analysis).",DHS,3199.225
297,"Statistical Service (Ghana), Ministry of Health, USAID and UNICEF.","Monitoring the situation of children, women and men. Multiple indicator cluster survey 2006 (and additional analysis).",MICS,3326.705
298,"Ghana Statistical Service (GSS), Ghana Health Service (GHS), and ICF Macro.","Ghana demographic and health survey 2008. Demographic and Health Surveys. Accra, Ghana: GSS, GHS, and ICF Macro, 2009 (and additional analysis).",DHS,3448.626
299,Ghana Statistical Service.,"Ghana multiple indicator cluster survey (MICS) with an enhanced malaria module and biomarker 2011: Final report. Accra, Ghana, 2012 (and additional analysis)",MICS,3671.288
300,"Ghana Statistical Service (GSS), National Public Health and Reference Laboratory (NPHRL) and the Ghana Health Service (GHS).","Ghana Demographic and Health Survey 2014. Rockville, Maryland, USA: GSS, GHS, and ICF International (and additional analysis)",DHS,3890.124
301,Ghana Statistical Service,"Multiple Indicator Cluster Survey (MICS2017/18), Survey Findings Report. Accra, Ghana: GSS",MICS,4069.604
302,"Delgado H, Hidalgo E, Giron EM, Pareja G.","Encuesta nacional de salud materno infantil 1987. Demographic and Health Surveys. Ministerio de Salud Publica y Asistencia Social. Guatemala, Central America, 1989 (and additional analysis).",DHS,1530.365
303,"Instituto Nacional de EstadÃ­stica â€“ INE,Guatemala and Macro International","Encuesta nacional de salud materno infantil 1995. Demographic and Health Surveys. Ciudad de Guatemala, Guatemala, 1996 (and additional analysis).",DHS,1766.974
304,"Instituto Nacional de EstadÃ­stica â€“ INE, Guatemala and Macro International.","Encuesta nacional de salud materno infantil 1998-1999. Demographic and Health Surveys. Ciudad de Guatemala, Guatemala, 1999 (and additional analysis).",IDHS,1874.542
305,"Inter-American Development Bank (IDB), National Statistics Institute (Guatemala), World Bank","Guatemala Living Standards Measurement Survey 2000. Washington DC, United States: World Bank (and additional analysis)",LSMS,1895.159
306,"Ministerio de Salud Publica y Asistencia Social, Instituto Nacional de Estadistica, Universidad del Valle de Guatemala, et al.","Guatemala encuesta nacional de salud materno infantil 2002. Ciudad de Guatemala, Republica de Guatemala: Oscar de Leon Palacios, 2003 (and additional analysis).",RHS,1931.688
307,Ministerio de Salud PÃºblica y Asistencia Social (MSPAS)/Instituto Nacional de EstadÃ­stica (INE)/Centros de Control y PrevenciÃ³n de Enfermedades (CDC).,"Encuesta nacional de salud materno infantil 2008 (ENSMI-2008/09). Ciudad de Guatemala, Guatemala: Ministerio de Salud PÃºblica, MSPAS, INE y CDC, 2010 (and additional analysis).",RHS,1956.294
308,"Ministerio de Salud PÃºblica y Asistencia Social (MSPAS), Instituto Nacional de EstadÃ­stica (INE), ICF Internacional.","Encuesta Nacional de Salud Materno Infantil 2014-2015. Ciudad de Guatemala, Guatemala, 2015 (and additional analysis)",DHS,1994.028
309,MinistÃ¨re du Plan et de la CoopÃ©ration,"EnquÃªte intÃ©grale sur les conditions de vie des mÃ©nages avec module budget et consommation (EIBC) 1994-95. MinistÃ¨re du Plan et de la CoopÃ©ration, Direction Nationale de la Statistique. Conakry, RÃ©publique de GuinÃ©e, 1998.",Other,1309.8
310,Direction Nationale de la Statistique,"EnquÃªte dÃ©mographique et de santÃ©, GuinÃ©e 1999. Demographic and Health Surveys. Direction Nationale de la Statistique. Conakry , GuinÃ©e, 2000 (and additional analysis).",DHS,1474.581
311,Direction Nationale de la Statistique (DNS) (GuinÃ©e) et ORC Macro.,"EnquÃªte dÃ©mographique et de santÃ©, GuinÃ©e 2005. Demographic and Health Surveys. Direction Nationale de la Statistique. Calverton, Maryland, U.S.A.: DNS et ORC Macro, 2006 (and additional analysis).",DHS,1630.331
312,"MinistÃ¨re de l'Economie des Finances et du Plan, UNICEF, PAM and Direction Nationale de la Statistique. EnquÃªte nationale sur l'Ã©tat nutritionnel et","le suivi des principaux indicateurs de survie de l'enfant. Rapport provisoire, Mai 2008 (30/12/09 http://ochaonline.un.org/CoordinationIASC/Securitealimentairenutrition/tabid/5651/language/fr-FR/Default.aspx).",Other,1689.852
313,"MinistÃ¨re de la SantÃ© et de l'HygiÃ¨ne Publique, Direction Nationale de la SantÃ© Familiale et de la Nutrition, Division de l'Alimentation et de la","EnquÃªte nationale nutrition-santÃ©, basÃ©e sur la mÃ©thodologie SMART, 2011-12. Rapport final. Conakry, Republique de GuinÃ©e, 2012 (and additional analysis).",SMART,1802.101
314,"l'Institut National de la Statistique (INS), MinistÃ¨re du Plan, MinistÃ¨re de la SantÃ© et de l'HygiÃ¨ne Publique, ICF International et UNICEF.","EnquÃªte dÃ©mographique et de santÃ© (EDS-IV) et enquÃªte par grappe Ã  indicateurs multiples (MICS). L'EDS-MICS 2012. Conakry, GuinÃ©e et Calverton, MD: INS et ICF, 2013 (and additional analysis).",DHS,1827.671
315,Institut National de la Statistique,"EnquÃªte par grappes Ã  indicateurs multiples (MICS, 2016), Rapport final, Conakry, GuinÃ©e. 2017 (and additional analysis)",MICS,1945.446
316,Institut National de la Statistique/INS et ICF,"EnquÃªte DÃ©mographique et de SantÃ© en GuinÃ©e 2018. Conakry, GuinÃ©e, et Rockville, Maryland, USA : INS et ICF",DHS,2019.747
317,Government of Guinea-Bissau and UNICEF (Guinea-Bissau).,"Multiple indicator cluster survey Guinea-Bissau, 2000 (MICS). Bissau, Guinea-Bissau: General Direction of Planning, National Institute of Statistics and Census and UNICEF, 2000 (and additional analysis).",MICS,207.783
318,MinistÃ¨re de l`Economie - SecrÃ©tariat d`Etat du Plan et Ã  l`IntÃ©gration RÃ©gionale.,"EnquÃªte par grappes Ã  indicateurs multiples, GuinÃ©e-Bissau, 2006, Rapport final. Bissau, GuinÃ©e-Bissau : MinistÃ¨re de l`Economie - SecrÃ©tariat d`Etat du Plan et Ã  l`IntÃ©gration RÃ©gionale, 2006 (and additional analysis).",MICS,231.251
319,"MinistÃ©rio da Economia, do Plano e IntegraÃ§ao Regional - DirecÃ§ao Geral do Plano, Instituto Nacional de Estatistica.","InquÃ©rito aos indicadores mÃºltiplos (MICS), inquÃ©rito demogrÃ¡fico de saÃºde reprodutiva - GuinÃ©-Bissau, 2010: RelatÃ³rio final. Bissau, GuinÃ©-Bissau, 2011.",MICS,254.839
320,"MinistÃ©rio da Economia e FinanÃ§as, DirecÃ§ao Geral do Plano Instituto Nacional de EstatÃ­stica (INE).","InquÃ©rito aos Indicadores MÃºltiplos (MICS) 2014, Principais Resultados. Bissau, GuinÃ©-Bissau: MinistÃ©rio da Economia e FinanÃ§as, DirecÃ§ao Geral do Plano Instituto Nacional de EstatÃ­stica (INE), 2015 (and additional analysis)",MICS,279.434
321,Guyana Bureau of Statistics.,"Household income and expenditure survey 1993 and Guyana living standards measurement survey. In: Guyana strategies for reducing poverty. Report No. 12861-GUA. Washington: The World Bank, 1994:50-67 (and additional analysis).",LSMS,94.704
322,Ministry of Health (Guyana) and Caribbean Food and Nutrition Institute (PAHO/CFNI).,"Micronutrient study report - Guyana survey - Vitamin A, beta-carotene, iron and iodine status. PAHO/CFNI/97.J5. Kingston, Jamaica, 1997 (and additional analysis).",Other,102.619
323,Bureau of Statistics [Guyana] and UNICEF.,"Guyana multiple indicator cluster survey (MICS). Georgetown, Guyana, 2001 (and additional analysis).",MICS,96.09
324,Bureau of Statistics and UNICEF.,"Guyana multiple indicator cluster survey 2006, final report. Georgetown, Guyana: Bureau of Statistics and UNICEF, 2008 (and additional analysis).",MICS,80.942
325,"Ministry of Health (MOH), Bureau of Statistics (BOS), and ICF Macro.","Guyana demographic and health survey 2009. Demographic and Health Surveys. Georgetown, Guyana: MOH, BOS, and ICF Macro, 2010 (and additional analysis).",DHS,74.018
326,"Bureau of Statistics, Ministry of Health and UNICEF.","Guyana Multiple Indicator Cluster Survey 2014, Final Report. Georgetown, Guyana: Bureau of Statistics, Ministry of Public Health and UNICEF (and additional analysis)",MICS,74.484
327,Ministry of Public Health and Population.,"Haiti's nutrition situation in 1990: A report based on anthropometric data of the 1990 nutrition surveys. Port-au-Prince, Haiti, 1993 (and additional analysis).",NNS,1142.943
328,"Cayemittes M, Rival A, BarrÃ¨re B, Lerebours G, GÃ©dÃ©on MA.","EnquÃªte mortalitÃ©, morbiditÃ© et utlisation des services (EMMUS-II) Haiti 1994/95. Demographic and Health Surveys. PÃ©tionville, Haiti, 1995 (and additional analysis).",DHS,1161.815
329,"Cayemittes M, Placide MF, BarrÃ¨re B, Mariko S, SÃ©vÃ¨re B.","EnquÃªte mortalitÃ©, morbiditÃ© et utilisation des services, Haiti 2000. Demographic and Health Surveys. Calverton, Maryland: MinistÃ¨re de la SantÃ© Publique et de la Population, Institut Haitien de l'Enfance et ORC Macro, 2001 (and additional analysis).",DHS,1207.519
330,"Cayemittes M, Placide MF, Mariko S, BarrÃ¨re B, SÃ©vÃ¨re B, Canez A.","EnquÃªte mortalitÃ©, morbiditÃ© et utilisation des services, HaÃ¯ti, 2005-2006. DHS. Calverton, Maryland, USA: MinistÃ¨re de la SantÃ© Publique et de la Population, Institut HaÃ¯tien de l'Enfance et Macro International Inc., 2007 (and additional analysis).",DHS,1246.633
331,"Cayemittes M, Busangu MF, Bizimana J, BarrÃ¨re B, SÃ©vÃ¨re B, Cayemittes V, Emmanuel C.","EnquÃªte mortalitÃ©, morbiditÃ© et utilisation des services, HaÃ¯ti, 2012. Demographic and Health Surveys. Calverton, Maryland, USA : MSPP, IHE et ICF International, 2012 (and additional analysis).",DHS,1270.169
332,Institut HaÃ¯tien de lâ€™Enfance (IHE) et ICF,"EnquÃªte MortalitÃ©, MorbiditÃ© et Utilisation des Services (EMMUS-VI 2016-2017) PÃ©tion-Ville, HaÃ¯ti, et Rockville, Maryland, USA : IHE et ICF (and additional analysis)",DHS,1271.773
333,"Barahona F, Soto RJ, Tronconi E, Maradiaga A, O'Connor G, Corrales G.","Encuesta nacional de nutricion, Honduras, 1987. Cuadros de frequencias por regiones de salud y nacionales. Ministerio de Salud Publica. Tegucigalpa, Republica de Honduras, 1988 (and additional analysis).",NNS,810.128
334,Ministerio de Salud Publica.,"Encuesta nacional de epidemiologia y salud familiar (ENESF), 1991/92. Tegucigalpa, Republica de Honduras, 1993 (and additional analysis).",RHS,890.059
335,"RepÃºblica de Honduras, Secretaria de PlanificaciÃ³n, CoordinaciÃ³n y Presupuesto","National survey of socio-economic indicators 1993/94. Tegucigalpa, Republica de Honduras, 1996 (and additional analysis).",Other,926.694
336,Ministry of Health.,"National micronutrient survey Honduras 1996. Tegucigalpa, Republic of Honduras, 1997 (and additional analysis).",Other,969.783
337,"Secretaria de Salud, Asociacion Hondurena de Planificacion de Familia, USAID, CDC.","Honduras encuesta nacional de epidemiologia y salud familiar ENESF-2001/encuesta nacional de salud masculina ENSM-2001: Informe final. Tegucigalpa, Honduras, 2002 (and additional analysis).",RHS,1070.673
338,"SecretarÃ­a de Salud [Honduras], Instituto Nacional de EstadÃ­stica (INE) y Macro International.","Encuesta nacional de salud y demografÃ­a 2005-2006. Demographic and Health Surveys. Tegucigalpa, Honduras: SS, INE y Macro International, 2006 (and additional analysis).",DHS,1052.842
339,"SecretarÃ­a de Salud [Honduras], Instituto Nacional de EstadÃ­stica (INE) e ICF International.","Encuesta nacional de salud y demografÃ­a 2011-2012. Demographic and Health Surveys. Tegucigalpa, Honduras: SS, INE e ICF International, 2013 (and additional analysis).",DHS,1020.993
340,National Institute of Nutrition.,"National Nutrition Monitoring Bureau, 1988-90 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO).",Other,121226.737
341,National Institute of Nutrition.,"National Nutrition Monitoring Bureau, 1991-92 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO).",Other,123144.679
342,International Institute for Population Sciences.,"National family health survey, India 1992-93. Demographic and Health Surveys. Bombay, India, 1995 (and additional analysis).",DHS,123695.199
343,"Vijayaraghavan K, Hanumantha Rao D.",Diet and nutrition situation in rural India. Indian Journal of Medical Research 1998;108:243-253 (and additional analysis).,Other,126145.646
344,International Institute for Population Sciences (IIPS) and ORC Macro.,"National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000 (and additional analysis).",DHS,127300.714
345,International Institute for Population Sciences (IIPS) and Macro International.,"National family health survey (NFHS-3), 2005-06: India: Volume I. Demographic and Health Surveys. Mumbai, India: IIPS, 2007 (and additional analysis).",DHS,129784.914
346,"Ministry of Women and Child Development, Government of India and UNICEF.",Rapid survey on children 2013-2014. India factsheet. . http://wcd.nic.in/ accessed 14 August 2014.,Other,120676.724
347,"Ministry of Health and Family Welfare, Government of India","National Family Health Survey (NFHS-4), 2015-16: India. Mumbai: IIPS. 2017 (and additional analysis)",DHS,118983.308
